"","yhat"
"1",190.727782909915
"2",55.422267256909
"3",194.652892848379
"4",186.462074622502
"5",280.034560958101
"6",244.646849543362
"7",115.448538859076
"8",259.560318654005
"9",33.5916707365899
"10",304.713484223256
"11",92.4147059387273
"12",199.412398092653
"13",127.570871205244
"14",128.075626003686
"15",89.7449834086441
"16",110.250279589052
"17",319.013433807966
"18",169.336905656576
"19",211.621335266991
"20",139.324457238869
"21",293.801775420538
"22",200.411924418757
"23",237.516247205696
"24",134.894026217904
"25",87.0393256132014
"26",237.572940522976
"27",246.667159357545
"28",133.068699063443
"29",246.856368252441
"30",196.893079823244
"31",105.448840436446
"32",308.483690539153
"33",75.0889027559028
"34",167.011094916526
"35",209.754075218746
"36",163.979557241327
"37",170.376231587076
"38",249.016685587818
"39",166.789674558146
"40",270.614708329119
"41",183.706928821504
"42",137.941877964182
"43",157.03361162299
"44",253.890999697143
"45",190.043695879934
"46",127.942717022267
"47",157.727757558535
"48",106.564113485531
"49",258.510501008904
"50",139.301431775013
"51",140.694818872264
"52",164.335184128933
"53",244.912541279124
"54",248.630248295959
"55",122.292831165317
"56",214.348644501729
"57",143.412192675036
"58",124.946689321035
"59",140.662821640778
"60",72.6904408120585
"61",115.584052317173
"62",106.815944027026
"63",245.504121148137
"64",213.680100912357
"65",274.844478186831
"66",131.977707115517
"67",222.663410393611
"68",254.86067082243
"69",307.864969371113
"70",258.054023319945
"71",123.412778109078
"72",125.058049332302
"73",135.75186198216
"74",149.455195076289
"75",176.743286382328
"76",35.8962633644609
"77",136.128499732518
"78",72.8113250270465
"79",224.10123952293
"80",323.871414551567
"81",61.8562549233735
"82",329.931396790243
"83",243.746871742722
"84",335.50409547438
"85",145.645296886388
"86",304.285734555161
"87",156.516592746227
"88",119.588614296307
"89",161.056902810673
"90",173.807363717221
"91",263.846518217452
"92",248.413114581121
"93",317.103078223614
"94",196.617305930358
"95",262.961495897844
"96",124.878277950794
"97",271.910559396092
"98",298.056353681113
"99",186.541364229989
"100",204.163095551692
"101",161.145325828972
"102",202.053160741162
"103",325.219990527191
"104",206.636955970886
"105",212.772355674289
"106",126.314976610554
"107",204.88423063185
"108",184.190391881739
"109",189.239344109792
"110",123.443365252915
"111",107.376034427591
"112",203.011657753313
"113",131.184952282402
"114",95.6109723440485
"115",115.492826866346
"116",157.759897438561
"117",211.987892213102
"118",130.849572249523
"119",300.458826622725
"120",100.955788019505
"121",70.0251673768656
"122",157.124698401806
"123",150.508791219493
"124",194.959266820623
"125",190.08589065541
"126",159.089372720119
"127",54.3713561847774
"128",77.0661046979926
"129",201.865297448496
"130",146.576204165621
"131",207.049487400235
"132",194.481029562343
"133",284.018260446573
"134",256.266392889786
"135",77.5487852941325
"136",160.334175212456
"137",100.123735689562
"138",103.683581850997
"139",234.214532812743
"140",186.376858354805
"141",123.123742055623
"142",132.783688828393
"143",241.720841345184
"144",257.602348949455
"145",198.537555716443
"146",190.278634932668
"147",204.193846736174
"148",137.702206067984
"149",180.585404804167
"150",159.031693606879
"151",234.54460248125
"152",182.46726455016
"153",231.928693258409
"154",108.056572758477
"155",108.047229157948
"156",209.255495340926
"157",81.3905949741332
"158",105.477732175304
"159",107.748242474348
"160",112.595340110155
"161",76.530298247576
"162",192.857181031533
"163",190.063678918899
"164",123.706392015645
"165",203.512821724479
"166",124.249531087259
"167",225.855831550625
"168",162.283689646187
"169",176.115244428791
"170",273.036386886463
"171",239.833345605402
"172",101.399586582737
"173",212.048206705893
"174",124.116597945573
"175",164.480415028935
