"Id","SalePrice"
1461,121931.322169127
1462,147544.814966139
1463,182891.196139162
1464,191105.189866814
1465,190688.110124676
1466,184653.163618551
1467,160948.833586804
1468,177900.050111991
1469,172341.86211273
1470,127812.949414509
1471,208365.285853339
1472,90268.526716845
1473,97822.7225361135
1474,149678.177624093
1475,118386.23512421
1476,385599.549558451
1477,253369.881832964
1478,302248.586244178
1479,307494.995550374
1480,432593.750276934
1481,316391.753438596
1482,207335.225155318
1483,188584.848934086
1484,180269.652418072
1485,181992.716609873
1486,203023.910699288
1487,320111.954966571
1488,239294.526138788
1489,208127.787023606
1490,233969.715479729
1491,194430.464657282
1492,96787.7191816856
1493,178863.696549256
1494,303466.21779094
1495,282603.181890925
1496,248587.128894149
1497,184486.454649508
1498,158264.621617358
1499,153722.774510651
1500,163914.142763125
1501,172647.11704752
1502,170005.243618313
1503,289477.401187625
1504,238941.642864828
1505,226289.324103131
1506,167994.809909415
1507,246503.586270453
1508,185692.661783079
1509,149396.959674566
1510,146684.635206355
1511,145393.631143951
1512,159705.629105615
1513,136593.207725267
1514,146639.639400246
1515,183059.208211891
1516,147260.909752931
1517,152787.797142764
1518,132143.904422134
1519,226263.088505782
1520,136242.530976269
1521,139279.178215775
1522,152896.067291026
1523,112222.562201054
1524,111945.93840603
1525,125189.974067431
1526,125216.944467713
1527,110397.580560473
1528,118092.502284909
1529,133585.039252239
1530,160587.723313916
1531,145166.152713865
1532,96571.7313579804
1533,131664.518641962
1534,110069.283405163
1535,139165.96257111
1536,116236.004970831
1537,113109.492028628
1538,153326.314877074
1539,196706.104794312
1540,111923.695680621
1541,130163.844420605
1542,125160.503174179
1543,180252.248776657
1544,91422.4151814958
1545,97039.3292291991
1546,127650.572904626
1547,137951.116113747
1548,117772.552823963
1549,108246.876007061
1550,135561.028691361
1551,115375.806984543
1552,150961.457801937
1553,130139.769791901
1554,110890.75835648
1555,169511.077978223
1556,106201.439367551
1557,106262.113507055
1558,97228.1130045838
1559,106136.897006821
1560,143852.693521286
1561,139214.648341886
1562,123591.657692116
1563,119040.713848682
1564,167841.653901294
1565,160353.735906195
1566,221467.960615054
1567,90654.3607474168
1568,223256.012238813
1569,159545.482012518
1570,142915.581751405
1571,128360.335675747
1572,132906.452217683
1573,234858.519240066
1574,120817.866848079
1575,236922.977050636
1576,250511.492908405
1577,205492.914417197
1578,139231.667164258
1579,145203.176630651
1580,185022.452393433
1581,145526.147488503
1582,120257.809255419
1583,328791.29819232
1584,247577.293867725
1585,138431.1467467
1586,85551.6800325006
1587,109264.879699994
1588,139517.321891999
1589,96002.3318260189
1590,125138.406280213
1591,96753.5934451313
1592,131231.310136678
1593,122754.399508851
1594,120567.714916987
1595,118792.012572387
1596,202252.246616956
1597,159369.031796885
1598,181976.704633296
1599,198004.669496445
1600,198363.048479135
1601,83776.9718946737
1602,106885.686972266
1603,99594.6071544409
1604,302028.396054495
1605,257824.063111976
1606,155608.795172651
1607,160330.785349991
1608,232292.093981189
1609,195520.415438983
1610,170331.155392412
1611,148555.824324356
1612,189960.307223814
1613,174641.403224662
1614,123563.724148091
1615,87483.4326618498
1616,85177.9795557575
1617,86616.5121929983
1618,117638.859863427
1619,141983.433511678
1620,168700.005885589
1621,137302.204533053
1622,138480.267448835
1623,276922.966945608
1624,223296.463833993
1625,122571.288749672
1626,165630.557978969
1627,186096.82100606
1628,279407.439581453
1629,176500.354457794
1630,325907.292478823
1631,189131.613175711
1632,226844.539511232
